31045 particles, 226 vloidsters
Zone# edgeflag CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
0 0 0 1.376054e-01 2.157863e+02 235 1 2.157863e+02 235 1.412527 1.13e-01
1 0 113 7.295099e-02 5.270752e+02 385 226 3.104500e+04 31045 65698.919505 0.00e+00
2 0 188 4.070508e-01 2.369206e+01 41 1 2.369206e+01 41 1.148423 4.66e-01
3 0 241 1.990965e-01 7.032568e+01 82 1 7.032568e+01 82 1.058845 7.40e-01
4 0 281 1.093550e-01 3.743910e+02 242 1 3.743910e+02 242 1.193242 3.69e-01
5 0 836 1.093496e-01 2.371090e+02 246 1 2.371090e+02 246 1.114926 5.54e-01
6 0 839 1.154363e-01 1.297254e+02 126 1 1.297254e+02 126 1.151449 4.59e-01
7 0 1102 1.736494e-01 7.244145e+01 62 1 7.244145e+01 62 1.349853 1.60e-01
8 0 1224 1.440106e-01 3.335690e+02 313 1 3.335690e+02 313 1.345229 1.64e-01
9 0 1239 1.597633e-01 1.277190e+02 125 1 1.277190e+02 125 1.046276 7.89e-01
10 0 1355 2.172785e-01 7.176606e+01 85 1 7.176606e+01 85 1.005901 9.70e-01
11 0 1547 2.541396e-01 1.034176e+02 112 1 1.034176e+02 112 1.296087 2.14e-01
12 0 1625 4.006426e-01 1.681005e+01 21 1 1.681005e+01 21 1.008234 9.59e-01
13 0 1745 1.031140e-01 1.334219e+02 97 1 1.334219e+02 97 1.221745 3.18e-01
14 0 2250 1.557293e-01 1.481472e+02 109 2 2.517456e+02 211 1.385665 1.31e-01
15 0 2252 1.707092e-01 1.035984e+02 102 1 1.035984e+02 102 1.113198 5.59e-01
16 0 2541 8.573979e-02 3.702963e+02 234 4 1.229004e+03 860 1.998728 2.71e-03
17 0 2673 1.069392e-01 1.469779e+03 1395 3 1.781275e+03 1730 2.041628 1.97e-03
18 0 2674 2.372047e-01 2.744453e+01 26 1 2.744453e+01 26 1.069463 7.00e-01
19 0 2813 1.525829e-01 1.219648e+02 129 2 2.202214e+02 234 1.728936 1.72e-02
20 0 2847 2.092996e-01 1.106050e+02 111 2 1.711523e+02 162 1.142599 4.80e-01
21 0 2885 2.140049e-01 6.054731e+01 51 1 6.054731e+01 51 1.034028 8.40e-01
22 0 2912 1.766209e-01 2.582320e+02 240 1 2.582320e+02 240 1.506810 6.63e-02
23 0 3215 1.472409e-01 1.639533e+02 141 1 1.639533e+02 141 1.551446 5.11e-02
24 0 3312 3.826626e-01 3.128178e+01 40 1 3.128178e+01 40 1.000486 9.98e-01
25 0 3332 3.089381e-01 4.491444e+01 78 1 4.491444e+01 78 1.056281 7.49e-01
26 0 3380 1.473851e-01 1.155008e+02 145 1 1.155008e+02 145 1.446484 9.35e-02
27 0 3436 1.515022e-01 7.231263e+01 50 1 7.231263e+01 50 1.269008 2.47e-01
28 0 3452 1.168249e-01 2.923200e+02 231 6 8.909050e+02 866 1.860960 7.20e-03
29 0 3639 2.637812e-01 4.523144e+01 49 3 1.955670e+02 277 1.342004 1.67e-01
30 0 3646 2.755566e-01 4.912515e+01 72 1 4.912515e+01 72 1.185622 3.84e-01
31 0 3737 2.748348e-01 1.012104e+02 156 1 1.012104e+02 156 1.285579 2.26e-01
32 0 3825 1.389846e-01 9.633871e+01 67 1 9.633871e+01 67 1.082311 6.56e-01
33 0 3888 2.036303e-01 4.032144e+01 41 1 4.032144e+01 41 1.150250 4.62e-01
34 0 3893 1.451317e-01 2.769570e+02 318 1 2.769570e+02 318 1.266172 2.51e-01
35 0 3968 2.745906e-01 3.300479e+01 39 1 3.300479e+01 39 1.129135 5.15e-01
36 0 4118 2.383077e-01 5.987030e+01 61 1 5.987030e+01 61 1.123589 5.30e-01
37 0 4221 1.771400e-01 1.843429e+02 158 1 1.843429e+02 158 1.012765 9.37e-01
38 0 4284 7.667257e-01 2.141018e+00 4 1 2.141018e+00 4 1.002545 9.87e-01
39 0 4492 4.110454e-01 1.067535e+01 18 1 1.067535e+01 18 1.023922 8.85e-01
40 0 4549 1.617131e-01 1.611384e+02 158 1 1.611384e+02 158 1.593359 3.98e-02
41 0 4625 1.956272e-01 5.920858e+01 60 1 5.920858e+01 60 1.128184 5.17e-01
42 0 4785 2.972875e-01 2.662415e+01 28 1 2.662415e+01 28 1.081365 6.59e-01
43 0 4812 2.684028e-01 3.173653e+01 25 1 3.173653e+01 25 1.055846 7.51e-01
44 0 5079 1.274872e-01 2.437580e+02 239 1 2.437580e+02 239 1.421440 1.08e-01
45 0 5100 1.570051e-01 3.519581e+02 277 1 3.519581e+02 277 1.499151 6.93e-02
46 0 5117 1.125673e-01 4.044755e+02 333 1 4.044755e+02 333 1.156612 4.47e-01
47 0 5192 4.303650e-01 1.491331e+01 46 1 1.491331e+01 46 1.125824 5.24e-01
48 0 5217 3.913722e-01 3.910493e+01 83 1 3.910493e+01 83 1.266337 2.51e-01
49 0 5567 1.189889e-01 3.380949e+02 310 1 3.380949e+02 310 1.173503 4.09e-01
50 0 5617 1.613032e-01 1.389738e+02 211 1 1.389738e+02 211 1.397149 1.23e-01
51 0 5908 1.977733e-01 5.777246e+01 55 1 5.777246e+01 55 1.172360 4.11e-01
52 0 5994 2.364171e-01 3.734501e+01 34 1 3.734501e+01 34 1.141388 4.83e-01
53 0 6012 1.689666e-01 9.144420e+01 63 1 9.144420e+01 63 1.044415 7.96e-01
54 0 6083 1.972014e-01 2.376841e+01 23 1 2.376841e+01 23 1.038203 8.22e-01
55 0 6101 9.878001e-02 3.938796e+02 242 1 3.938796e+02 242 1.010031 9.50e-01
56 0 6191 1.439761e-01 1.380322e+02 104 4 6.209323e+02 661 1.664307 2.58e-02
57 0 6286 1.328984e-01 1.538134e+02 138 4 5.547650e+02 505 1.785469 1.19e-02
58 0 6448 1.563297e-01 6.145478e+01 42 1 6.145478e+01 42 1.064986 7.17e-01
59 0 6514 1.949870e-01 1.799729e+02 205 1 1.799729e+02 205 1.078117 6.70e-01
60 0 6585 1.342799e-01 6.035246e+01 51 1 6.035246e+01 51 1.132870 5.05e-01
61 0 6638 2.251513e-01 5.008893e+01 47 1 5.008893e+01 47 1.163733 4.30e-01
62 0 6750 2.003206e-01 1.315579e+02 143 3 2.617747e+02 320 1.691660 2.18e-02
63 0 6763 1.327791e-01 1.217017e+02 99 1 1.217017e+02 99 1.055327 7.53e-01
64 0 6930 2.136152e-01 8.354693e+01 82 1 8.354693e+01 82 1.211020 3.36e-01
65 0 6983 1.143063e-01 1.549834e+02 197 1 1.549834e+02 197 1.193797 3.68e-01
66 0 7033 7.338093e-02 6.528050e+02 680 3 9.355075e+02 1002 2.384765 1.14e-04
67 0 7676 2.036098e-01 1.885897e+02 219 1 1.885897e+02 219 1.370077 1.43e-01
68 0 8000 2.538530e-01 3.805334e+01 40 1 3.805334e+01 40 1.065878 7.13e-01
69 0 8017 5.204094e-01 6.675826e+00 8 1 6.675826e+00 8 1.002123 9.89e-01
70 0 8321 3.200902e-01 1.101244e+01 13 1 1.101244e+01 13 1.268190 2.48e-01
71 0 8326 1.418464e-01 2.155007e+02 204 1 2.155007e+02 204 1.728270 1.73e-02
72 0 8373 1.612291e-01 2.677813e+02 235 1 2.677813e+02 235 1.164662 4.28e-01
73 0 8628 2.493600e-01 5.677557e+01 63 1 5.677557e+01 63 1.068405 7.04e-01
74 0 8942 2.666559e-01 3.320667e+01 38 1 3.320667e+01 38 1.060877 7.32e-01
75 0 8972 3.347753e-01 2.033724e+01 19 1 2.033724e+01 19 1.022214 8.92e-01
76 0 9083 1.794349e-01 1.382252e+02 116 3 3.093775e+02 278 1.450793 9.13e-02
77 0 9346 1.581159e-01 2.378325e+02 236 2 4.527517e+02 435 1.425174 1.05e-01
78 0 9512 1.697574e-01 1.914168e+02 238 1 1.914168e+02 238 1.673663 2.44e-02
79 0 9655 3.508872e-01 2.432917e+01 41 1 2.432917e+01 41 1.057066 7.46e-01
80 0 9695 1.522850e-01 1.810914e+02 189 1 1.810914e+02 189 1.111666 5.64e-01
81 0 9777 2.128715e-01 9.945727e+01 124 1 9.945727e+01 124 1.259765 2.60e-01
82 0 9878 1.456225e-01 3.216790e+02 294 1 3.216790e+02 294 1.329465 1.79e-01
83 0 9908 2.706526e-01 8.606378e+01 104 1 8.606378e+01 104 1.076139 6.77e-01
84 0 10079 1.369330e-01 1.334736e+02 150 1 1.334736e+02 150 1.028461 8.64e-01
85 0 10105 1.671844e-01 1.961298e+02 230 1 1.961298e+02 230 1.407511 1.16e-01
86 0 10242 1.999250e-01 1.454687e+02 167 1 1.454687e+02 167 1.328364 1.80e-01
87 0 10403 1.280056e-01 1.375593e+02 125 3 3.893049e+02 336 1.705639 2.00e-02
88 0 10713 1.567644e-01 1.449292e+02 141 1 1.449292e+02 141 2.035743 2.06e-03
89 0 10744 2.449920e-01 3.822096e+01 45 1 3.822096e+01 45 1.006713 9.66e-01
90 0 11062 1.172922e-01 4.680521e+02 345 2 8.061470e+02 655 1.193104 3.69e-01
91 0 11105 2.567968e-01 4.172920e+01 77 1 4.172920e+01 77 1.093867 6.18e-01
92 0 11149 1.647428e-01 2.014067e+02 195 1 2.014067e+02 195 1.365088 1.47e-01
93 0 11188 1.803188e-01 3.184356e+01 22 1 3.184356e+01 22 1.003304 9.83e-01
