# 31045 non-edge tracers in halo_pos_00, 225 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
1 113 0.072951 385 1 385 556327.916044 1.671215
66 7033 0.073381 680 1 680 689035.730069 1.859592
174 22385 0.078993 531 1 531 654025.320148 1.771563
16 2541 0.085740 234 1 234 390847.774469 1.163647
55 6101 0.098780 242 1 242 415739.949518 1.010031
221 29981 0.102517 959 1 959 1040136.432456 1.769040
13 1745 0.103114 97 1 97 140826.826194 1.221745
119 14507 0.103236 527 1 527 602422.976711 1.774200
17 2673 0.106939 1395 1 1395 1551351.852859 1.877172
5 836 0.109350 246 1 246 250268.568594 1.114926
4 281 0.109355 242 1 242 395169.730649 1.193242
157 19821 0.110310 529 1 529 595743.455552 1.680018
127 15776 0.110350 291 1 291 311809.606339 1.625515
46 5117 0.112567 333 1 333 426923.922822 1.156612
102 11920 0.112732 372 1 372 466281.093174 1.242999
65 6983 0.114306 197 1 197 163584.991181 1.193797
6 839 0.115436 126 1 126 136925.170147 1.151449
118 14456 0.116042 398 1 398 388785.749512 1.333356
28 3452 0.116825 231 1 231 308543.783540 1.287607
90 11062 0.117292 345 1 345 494029.029241 1.190478
49 5567 0.118989 310 1 310 356859.194176 1.173503
100 11691 0.119189 268 1 268 380810.285354 1.396845
187 24380 0.120293 532 1 532 629427.629622 1.491144
96 11373 0.120927 196 1 196 226297.422915 1.326914
191 25131 0.120985 188 1 188 209967.781169 1.794271
44 5079 0.127487 239 1 239 257286.588629 1.421440
87 10403 0.128006 125 1 125 145193.852227 1.685776
136 17667 0.128217 175 1 175 168719.576872 1.565649
216 28967 0.130822 259 1 259 261891.313281 1.193053
63 6763 0.132779 99 1 99 128456.154150 1.055327
57 6286 0.132898 138 1 138 162350.056086 1.349912
60 6585 0.134280 51 1 51 63702.026390 1.132870
175 22405 0.135864 77 1 77 106614.374334 1.536754
84 10079 0.136933 150 1 150 140881.395548 1.028461
0 0 0.137605 235 1 235 227762.457027 1.412527
32 3825 0.138985 67 1 67 101685.516163 1.082311
120 14696 0.140484 95 1 95 146190.772053 1.101373
94 11310 0.141722 68 1 68 88042.565432 1.132213
71 8326 0.141846 204 1 204 227461.006204 1.728270
56 6191 0.143976 104 1 104 145692.998215 1.460095
8 1224 0.144011 313 1 313 352082.106362 1.345229
34 3893 0.145132 318 1 318 292328.135803 1.266172
82 9878 0.145622 294 1 294 339532.210404 1.329465
23 3215 0.147241 141 1 141 173052.721353 1.551446
26 3380 0.147385 145 1 145 121911.103701 1.446484
166 21203 0.149152 209 1 209 272404.305183 1.343087
149 19047 0.150122 173 1 173 181225.880676 1.551083
27 3436 0.151502 50 1 50 76325.986788 1.269008
80 9695 0.152285 189 1 189 191141.987283 1.111666
19 2813 0.152583 129 1 129 128733.856222 1.421286
219 29882 0.153602 223 1 223 283260.967911 1.016118
14 2250 0.155729 109 1 109 156369.381530 1.220278
99 11584 0.156071 117 1 117 130224.961185 1.361842
58 6448 0.156330 42 1 42 64865.525239 1.064986
88 10713 0.156764 141 1 141 152972.782271 2.035743
45 5100 0.157005 277 1 277 371491.802893 1.499151
77 9346 0.158116 236 1 236 251032.222902 1.326376
95 11372 0.158662 154 1 154 174176.723389 1.242672
214 28790 0.158763 161 1 161 168969.413741 1.283491
145 18722 0.159335 138 1 138 174453.369960 1.314268
173 22251 0.159452 87 1 87 86262.042346 1.309411
9 1239 0.159763 125 1 125 134807.414785 1.046276
168 21600 0.159874 359 1 359 240877.995478 1.577676
192 25162 0.160781 374 1 374 307552.457864 1.666150
72 8373 0.161229 235 1 235 282643.183714 1.164662
50 5617 0.161303 211 1 211 146686.857091 1.397149
40 4549 0.161713 158 1 158 170081.594176 1.593359
124 15278 0.162978 190 1 190 233566.651970 1.505329
92 11149 0.164743 195 1 195 212584.788069 1.365088
178 22622 0.166172 321 1 321 278995.480986 1.308223
85 10105 0.167184 230 1 230 207015.019694 1.407511
159 20302 0.168146 102 1 102 99764.284361 1.128776
53 6012 0.168967 63 1 63 96519.360464 1.044415
217 29151 0.169007 51 1 51 61196.163649 1.510219
98 11500 0.169089 123 1 123 110318.440767 1.166047
78 9512 0.169757 238 1 238 202040.447814 1.673663
15 2252 0.170709 102 1 102 109348.119543 1.113198
7 1102 0.173649 62 1 62 76461.956309 1.349853
115 14251 0.174894 199 1 199 226847.232907 1.199134
22 2912 0.176621 240 1 240 272563.896795 1.506810
144 18658 0.176817 162 1 162 156526.334392 1.354557
134 16999 0.176947 158 1 158 155904.117095 1.132119
37 4221 0.177140 158 1 158 194573.945795 1.012765
164 21075 0.177309 59 1 59 75910.214751 1.481868
116 14347 0.177889 216 1 216 204775.354073 1.250151
208 27891 0.177946 187 1 187 193199.262490 1.317452
76 9083 0.179435 116 1 116 145896.709731 1.332770
93 11188 0.180319 22 1 22 33610.880144 1.003304
222 30276 0.180611 216 1 216 210279.364793 1.026090
123 15156 0.180755 147 1 147 184710.508642 1.188340
197 25701 0.187151 104 1 104 119887.498947 1.420882
193 25206 0.187666 31 1 31 34450.477683 1.128528
111 13776 0.187987 157 1 157 194377.095030 1.410598
130 15994 0.192302 172 1 172 141811.818869 1.233177
148 19020 0.193071 168 1 168 186071.153796 1.093027
122 15105 0.194738 61 1 61 81479.708696 1.103009
135 17397 0.194753 160 1 160 160063.737362 1.050887
103 11958 0.194873 43 1 43 49170.302371 1.076343
160 20356 0.194918 219 1 219 186142.294502 1.081408
59 6514 0.194987 205 1 205 189961.410443 1.078117
194 25383 0.195596 66 1 66 79962.364001 1.109835
41 4625 0.195627 60 1 60 62494.660958 1.128184
184 23930 0.196165 323 1 323 310562.744094 1.281157
209 27898 0.197003 166 1 166 176645.115877 1.143852
54 6083 0.197201 23 1 23 25087.558669 1.038203
51 5908 0.197773 55 1 55 60978.836182 1.172360
121 15037 0.198429 83 1 83 94531.706042 1.502004
150 19237 0.199034 134 1 134 130627.634466 1.054844
3 241 0.199097 82 1 82 74228.760903 1.058845
86 10242 0.199925 167 1 167 153542.224564 1.328364
62 6750 0.200321 143 1 143 138859.374044 1.169026
105 12767 0.202264 55 1 55 39555.815468 1.001025
125 15486 0.203117 137 1 137 144210.970552 1.066328
67 7676 0.203610 219 1 219 199056.443537 1.370077
33 3888 0.203630 41 1 41 42559.283167 1.150250
207 27465 0.205179 60 1 60 68743.126440 1.186343
152 19309 0.205543 111 1 111 144298.471509 1.021442
113 13928 0.207184 122 1 122 121293.847254 1.381789
117 14363 0.207459 107 1 107 116461.451235 1.151094
141 18458 0.208922 109 1 109 112439.679278 1.149654
20 2847 0.209300 111 1 111 116743.586407 1.057274
186 24361 0.210421 40 1 40 57110.090627 1.123788
114 14238 0.210712 141 1 141 118534.770043 1.283536
177 22496 0.210777 105 1 105 103709.828102 1.028880
162 20746 0.211518 50 1 50 80527.098764 1.158315
180 23071 0.211626 109 1 109 104965.809868 1.419029
81 9777 0.212871 124 1 124 104977.156494 1.259765
64 6930 0.213615 82 1 82 88183.791343 1.211020
21 2885 0.214005 51 1 51 63907.690581 1.034028
10 1355 0.217279 85 1 85 75749.082109 1.005901
213 28628 0.218004 117 1 117 110465.577478 1.554637
